Recommended_Calories,Recommended_Protein,Recommended_Carbs,Recommended_Fats
2126,152,305,69
1066,112,229,125
2551,92,154,24
2418,123,256,79
1143,208,349,102
951,60,378,129
2350,61,188,19
2166,91,144,68
1534,56,324,92
3055,96,351,53
1409,136,351,158
2470,84,379,54
1213,167,223,77
1493,140,164,67
3221,146,92,103
2723,152,330,102
3065,89,128,21
2545,195,351,117
1408,119,362,31
2217,123,161,142
2405,94,327,53
2246,150,263,97
2415,82,219,119
1476,141,86,123
1893,193,88,59
2574,172,207,90
2517,105,332,56
903,191,353,75
1815,126,319,121
2273,111,340,12
2682,174,125,86
2623,81,283,68
1014,186,123,117
2396,91,341,46
1722,169,425,127
3157,164,276,112
2977,160,398,123
2364,102,346,106
2780,48,247,53
1929,171,388,64
1457,73,198,130
2906,196,280,116
2515,166,316,106
2133,162,190,108
1052,108,70,125
2763,148,101,109
2569,194,115,134
2833,113,353,143
1200,110,287,49
2701,171,343,114
1301,144,249,86
2153,131,254,111
1985,188,254,66
2866,163,393,118
789,53,187,98
2277,104,149,123
1497,102,139,69
2436,172,137,106
2154,134,144,119
2642,152,217,56
1457,201,297,87
2031,127,296,142
1113,188,150,127
1347,137,366,102
2056,117,232,66
1201,104,328,154
1015,79,336,98
1393,113,344,58
2718,69,147,115
2835,60,322,94
2769,144,203,158
1532,145,238,94
1587,183,183,77
3012,148,232,65
3288,101,294,52
1800,183,291,55
1610,93,278,86
2503,62,295,126
1305,195,97,122
2167,139,408,56
1233,168,269,145
2617,60,180,34
2752,93,381,34
2887,148,108,55
2929,83,158,118
3171,74,430,79
2112,104,312,76
1542,137,259,49
3086,196,74,51
2989,194,136,113
1961,121,280,49
1048,171,295,89
1143,86,138,87
2396,144,221,109
1852,103,304,149
1977,105,258,134
2201,197,323,32
788,183,378,148
3054,200,230,112
1176,77,202,59
1099,90,309,132
2901,136,215,87
1230,132,136,47
3031,106,266,83
2629,113,194,94
1473,197,409,57
2524,62,92,110
1303,185,154,126
1819,113,346,131
1046,76,223,99
1138,99,286,38
1480,203,345,41
1108,74,143,133
3151,116,269,96
2978,42,219,149
2356,155,153,51
1769,106,144,51
1410,184,326,127
1578,162,82,140
1912,183,200,44
2504,204,296,130
1831,171,319,116
2689,53,264,138
1673,132,404,150
3002,144,202,129
1045,153,227,89
923,97,305,88
2181,118,200,98
3047,117,229,32
1508,67,78,135
2784,97,125,53
1459,161,363,42
3017,94,221,143
1311,101,232,47
2858,137,378,135
2908,162,125,139
2724,163,309,38
3179,78,85,63
1519,87,286,78
1164,140,189,136
2685,110,350,73
2012,77,273,42
1701,99,405,40
1828,60,152,135
1974,128,334,71
2526,79,209,83
1690,100,309,64
1411,188,388,57
1829,186,299,105
2077,59,309,130
2574,102,383,139
2292,52,330,69
1106,143,218,99
1946,170,200,100
1784,79,319,120
1177,105,197,135
1164,139,375,69
1541,109,222,79
1009,167,126,132
2997,141,415,93
2265,174,305,151
1479,111,447,48
2264,81,376,83
3007,167,253,113
2609,171,176,127
1348,103,141,52
1937,120,95,123
2252,146,390,121
1287,127,342,79
2851,96,291,85
2545,160,274,46
2642,66,221,139
1167,160,186,144
2182,149,230,57
1689,42,336,61
2435,126,410,73
1510,54,337,152
1583,97,223,39
1177,121,196,138
1492,118,110,115
1398,90,187,37
1052,140,371,15
1475,118,161,113
1454,85,129,45
2593,141,170,87
2875,158,83,52
2513,164,262,142
2031,143,211,32
2783,74,305,53
2796,91,116,42
1688,198,324,68
2058,77,440,112
3181,141,80,122
2806,131,205,83
1587,209,383,91
2753,197,155,57
3158,180,333,64
2042,54,340,103
2147,162,173,79
2219,171,306,74
1625,42,277,50
3100,66,362,16
2977,78,354,139
2079,175,175,81
1041,154,223,112
2169,163,393,33
2354,142,216,56
2859,154,170,69
2170,56,278,94
2327,186,126,111
2850,56,291,93
2675,182,359,120
1538,123,172,51
1066,181,294,137
1076,111,125,128
2501,124,428,72
2381,200,172,130
2666,179,350,36
2937,78,247,130
1796,115,144,138
2199,89,258,48
1629,118,327,43
1001,118,144,116
2998,136,245,96
2821,129,233,50
1532,71,322,128
1751,75,391,77
1579,76,330,32
2206,166,160,70
3273,162,126,147
2841,151,147,94
1639,135,299,141
2003,75,298,134
1065,112,279,85
1225,110,114,89
1846,185,194,82
2875,52,282,71
1883,172,349,28
1262,155,154,121
1707,188,266,83
2364,177,307,88
1978,140,212,118
3062,126,339,152
1352,198,152,111
2148,204,278,104
828,163,108,110
2623,196,178,29
1763,115,341,97
2936,151,261,116
2542,97,272,101
2190,113,279,69
2492,46,228,111
1268,171,357,146
1995,75,398,59
2540,129,144,41
3001,62,251,74
1939,129,239,90
1275,190,289,60
1515,123,201,156
2300,58,384,124
1248,109,418,148
1337,132,379,150
2735,74,243,65
1055,166,242,140
2615,58,371,153
1156,101,207,64
2043,110,240,57
2036,125,202,74
1374,160,301,74
1053,84,107,131
1996,178,150,43
2705,93,416,50
1334,150,354,68
2754,81,310,98
3272,139,251,98
2831,136,330,149
764,209,193,27
2925,164,244,141
2319,91,326,100
2793,162,171,69
1853,93,144,46
1927,176,218,116
2952,152,250,59
1928,158,440,95
1579,78,278,46
1498,154,186,52
2960,76,314,124
1795,154,327,84
3306,157,295,97
1702,165,309,64
2555,123,261,95
1510,180,93,45
1424,200,148,144
2353,161,408,35
2341,97,272,98
835,158,199,57
2294,154,325,140
2022,86,197,89
2246,91,121,59
1847,61,287,121
1274,86,294,58
2194,209,249,131
1071,157,153,158
2454,81,244,134
2445,145,81,151
2994,144,163,122
815,95,249,102
1979,199,354,107
1146,89,261,152
2650,99,172,138
2010,132,113,75
1902,190,187,55
2525,156,116,58
2535,164,256,103
845,154,194,117
2413,171,344,41
1594,144,210,67
2434,49,322,48
1557,121,293,112
2936,147,262,122
1969,119,166,119
1092,76,111,64
2115,68,347,81
2842,78,179,134
2490,153,369,167
2502,183,101,22
2764,110,209,74
1631,187,320,36
2356,153,371,59
1857,79,117,48
1706,118,248,104
2097,165,253,41
2040,71,99,90
1319,169,57,90
3032,143,166,54
1038,186,146,124
2694,69,119,112
1519,157,113,71
3213,85,86,86
1402,62,270,135
3024,40,277,141
2313,72,195,80
807,80,98,58
2474,112,351,158
2656,57,187,94
2536,130,327,151
2984,185,270,72
1106,195,309,158
3102,173,271,139
2037,105,102,146
2493,149,362,81
2457,169,289,138
1427,118,269,102
1291,192,227,58
2094,201,94,50
753,146,247,145
2248,184,307,130
2594,99,195,72
2298,184,225,21
2076,130,222,117
3163,140,364,163
1137,135,354,18
2233,159,307,47
2527,188,382,62
2733,114,363,93
1174,192,281,65
2058,99,331,38
2150,59,108,116
1643,54,158,104
1942,161,358,85
994,163,362,131
1595,146,204,103
1104,89,297,61
1944,130,309,69
2811,195,218,153
1364,81,146,67
2201,106,239,53
3187,127,361,145
1879,136,173,26
1195,112,334,93
1564,54,152,62
1496,201,214,17
1313,89,107,115
2465,146,307,49
1969,140,151,42
1934,106,342,50
2148,72,173,78
2239,59,408,141
1701,191,267,106
1826,108,135,72
1244,122,228,143
2850,153,183,115
1788,171,404,103
1852,128,206,137
3116,80,294,99
1786,185,291,23
997,104,106,73
3147,185,142,28
2106,156,317,89
2554,66,295,29
2853,194,375,57
1672,65,340,45
1720,112,187,67
749,72,388,100
1768,180,230,39
884,200,101,88
1974,139,158,71
2591,118,316,144
3033,141,235,45
2650,59,261,111
2666,89,341,23
1675,71,230,100
2024,113,117,142
1724,209,246,154
2971,202,231,154
1200,124,106,78
2117,167,411,70
1191,152,192,124
938,166,414,88
1394,101,175,131
2854,196,366,141
1177,75,226,113
3081,179,198,88
870,162,399,121
1910,129,429,126
1357,193,274,72
2269,141,340,61
1486,93,290,85
1015,131,310,39
2794,77,203,127
1832,125,141,62
2689,118,159,67
2313,85,227,105
2851,154,249,110
2674,149,180,133
1205,161,150,56
2925,71,349,35
1091,114,147,112
1625,66,411,30
2595,91,136,102
2934,142,333,131
2175,92,390,39
1012,50,92,113
1290,81,203,84
2951,88,195,42
2139,112,340,80
1079,150,262,98
3212,61,301,40
1451,174,249,62
1230,120,120,79
2836,193,232,141
2191,134,88,40
2482,85,290,119
2844,91,292,148
2881,112,275,78
2212,110,146,63
3076,177,191,103
2672,182,267,45
1824,175,174,53
2800,94,248,95
3041,110,295,34
1354,121,421,93
2183,115,421,96
2995,207,166,120
2382,99,272,110
1072,90,294,28
1614,189,319,102
2095,87,271,100
1971,171,243,134
1163,203,181,18
2893,186,352,99
2636,84,213,144
2121,152,211,50
3271,144,188,33
2771,79,366,85
1549,115,306,134
1157,87,262,119
1343,58,200,17
2442,112,87,15
1564,107,205,128
2406,150,347,24
2696,119,330,98
1152,117,176,21
1851,64,213,97
907,169,122,38
1851,164,310,103
1391,97,106,112
1411,136,224,39
974,142,292,147
2549,176,295,75
1160,98,237,67
2242,157,294,67
2214,151,242,81
1386,64,115,101
1679,109,422,83
1680,104,300,86
1423,72,411,81
1019,188,279,96
1777,102,236,96
2685,131,263,95
960,74,104,113
1314,180,128,149
2993,120,404,25
1982,150,293,88
2134,155,336,41
1660,177,168,146
1173,91,256,100
2237,102,183,36
1625,157,248,82
2341,130,93,77
1153,80,251,158
2795,181,119,48
1976,70,342,105
1997,155,173,96
1316,159,343,55
2278,137,347,119
3004,106,287,137
2189,109,419,100
1616,63,399,46
984,71,162,157
1366,187,239,50
1354,55,134,87
2208,64,175,47
2579,118,166,38
1677,142,324,21
2256,136,268,29
2880,107,317,33
1694,97,395,138
2466,100,233,109
2221,194,172,25
1803,177,139,128
1489,128,287,148
1794,115,203,75
3035,157,215,128
1243,125,184,89
1663,95,117,94
1427,103,182,52
2278,153,296,129
1103,55,297,107
1858,168,310,78
1815,95,304,121
1937,166,317,56
748,63,269,18
2944,169,150,62
1590,106,230,40
2880,149,91,127
1717,109,111,91
2424,95,53,86
2379,121,371,167
1509,123,174,43
2024,158,359,122
2889,143,268,34
3190,149,339,17
1255,69,362,143
2761,68,384,102
1543,144,305,45
1394,203,151,82
2261,89,114,76
964,80,344,136
2967,128,204,70
2638,64,353,24
2403,171,263,86
2253,119,302,22
840,171,403,87
2184,137,192,93
1894,185,126,138
1659,113,173,142
3072,82,174,16
2313,193,357,84
1458,124,203,101
1470,140,157,51
2105,116,310,149
2244,57,103,69
910,119,108,134
2917,206,171,38
3147,202,209,142
2366,89,365,78
1963,77,207,56
1711,126,362,55
2365,175,50,130
1138,107,236,87
1273,64,333,79
2530,83,305,117
2684,85,193,120
1288,135,267,152
1903,60,205,83
2027,160,153,87
2085,71,266,92
2037,119,271,122
1097,142,194,14
2240,48,301,78
1100,160,263,42
2905,78,123,80
1663,98,314,43
929,81,336,143
1439,129,279,126
1184,122,273,98
2714,106,232,104
2676,93,399,132
2368,108,201,92
2057,132,271,57
1060,139,142,62
2935,152,241,87
2214,192,116,35
3041,207,385,76
2894,49,285,86
2044,130,197,98
1991,129,185,130
1530,190,335,53
2495,84,104,148
2771,194,234,60
1210,128,186,114
2530,188,220,131
2871,184,220,85
1446,116,280,80
2917,149,310,35
1840,142,268,58
2270,155,376,110
1999,189,164,103
3034,119,205,93
1203,61,157,133
2102,161,306,62
1401,72,338,118
2578,185,94,140
1641,170,246,74
2516,180,135,41
2952,118,275,37
3279,194,330,119
2960,215,150,114
2095,141,205,50
2944,191,345,112
1076,83,148,15
2476,172,155,40
2175,105,84,117
1159,125,367,146
2330,108,59,26
2422,87,201,12
2445,197,186,75
1909,79,112,21
2686,112,249,127
2623,171,313,38
2120,126,250,93
2945,68,122,96
3128,159,187,74
1713,181,376,139
1241,47,206,89
1705,162,138,127
2142,88,260,48
2912,169,120,88
1308,193,301,66
2626,126,296,57
989,136,109,48
828,79,348,75
1788,128,246,87
997,137,250,128
1330,115,285,30
1712,148,253,79
1704,82,213,40
1619,214,377,123
2701,163,382,43
796,67,264,72
1405,105,331,49
1782,165,324,109
1297,174,204,55
2708,76,333,53
1667,158,381,125
2553,112,121,80
1988,121,212,136
1987,76,253,51
1841,127,125,55
2744,61,339,119
2664,78,372,118
3034,142,354,143
1693,143,137,136
1818,193,187,34
1021,187,245,101
1493,107,106,42
1222,151,311,131
2948,75,274,38
2013,210,289,99
1247,132,286,101
1483,132,376,40
2560,101,399,48
3011,118,170,28
2143,131,312,70
3141,64,256,88
2175,206,149,92
1934,171,337,141
1623,72,345,77
2278,125,279,24
3061,195,371,162
2130,156,296,54
1351,176,325,131
2140,193,352,82
1868,181,190,151
1513,164,160,135
1095,143,341,132
2724,92,195,65
1562,168,304,131
2411,188,279,160
1870,180,338,53
1908,151,148,57
1506,133,240,35
1175,88,211,39
1624,76,196,79
1999,174,286,80
3044,147,385,77
2385,115,178,157
1135,51,366,66
3101,119,117,142
2653,93,202,139
2095,203,299,150
2869,105,55,39
2397,151,177,113
1573,91,201,21
2589,174,254,135
1830,150,328,130
2287,80,171,135
3228,105,95,89
2187,87,228,140
2128,71,341,153
1177,77,231,26
927,78,211,42
2684,170,277,133
2800,84,170,81
942,192,164,54
1438,131,314,76
1137,72,309,57
1075,154,344,139
1059,115,369,50
1253,87,135,157
1988,78,108,122
1199,44,143,132
1586,212,270,148
889,160,203,137
2409,153,191,34
1208,162,244,76
2996,139,232,121
2815,107,357,94
3248,87,384,121
1711,114,247,34
1837,154,361,35
1326,84,167,71
2906,67,417,110
3254,59,225,30
2971,111,198,109
2581,152,254,133
2355,204,261,97
3065,129,237,137
1619,136,241,127
2817,149,136,51
2770,123,144,139
921,126,188,28
2326,111,163,82
3154,119,196,83
2995,147,343,20
1665,145,229,132
1512,60,269,89
2699,66,423,138
1267,131,157,113
3333,158,283,66
2582,129,320,39
2381,162,212,89
1923,126,216,88
2177,188,115,97
2099,119,238,145
2373,204,179,84
3125,189,408,117
1913,209,175,102
1336,198,214,77
1497,139,172,28
1953,98,352,33
2191,150,372,114
1895,119,247,32
1715,193,297,80
2080,86,231,97
1104,114,299,148
2114,139,125,37
939,155,239,80
1405,199,331,33
2300,68,179,154
3164,69,376,93
2005,129,239,54
1533,83,333,151
1849,139,240,114
1307,107,124,77
2131,172,191,105
2316,176,396,147
2360,181,220,77
1953,118,406,129
1768,122,320,140
1250,89,259,29
1659,155,105,45
3093,209,297,76
2427,162,352,30
1712,65,168,85
818,112,120,53
952,125,411,68
918,133,170,82
2861,159,284,37
2330,103,245,73
1327,84,204,70
2174,159,161,134
2913,195,185,131
2086,168,176,62
2795,118,316,69
2006,133,281,93
2069,63,116,89
2571,118,334,130
1142,176,237,21
1506,144,195,100
1703,42,324,128
2464,81,323,25
1932,115,95,36
2145,176,118,112
2054,204,122,54
2799,148,146,73
1834,194,144,85
3056,165,335,59
2710,157,251,123
1877,113,130,78
2376,115,368,60
1434,91,268,109
1396,98,196,106
1277,115,366,101
2318,121,247,79
1933,110,361,160
2507,97,325,114
3105,62,356,26
1412,197,143,111
2874,80,123,112
898,109,282,99
2309,199,314,67
1181,160,117,120
1894,107,417,135
1255,147,179,94
3044,52,447,148
1274,164,334,67
1769,128,142,57
3231,114,328,50
1621,174,350,82
3105,159,398,49
1969,99,286,94
2841,103,341,154
1080,86,338,93
2673,72,168,161
3120,142,363,39
1904,139,403,47
3045,118,274,55
1647,65,317,85
3091,55,343,30
2362,85,144,158
1441,62,404,86
2537,155,241,124
1118,65,264,79
1620,121,116,140
1856,69,268,124
2368,142,306,67
1545,160,172,73
2259,67,138,125
2424,125,216,46
2504,190,158,96
2828,186,259,52
1077,80,386,134
2401,110,151,109
1219,155,245,85
2544,101,296,67
2871,125,322,37
3064,196,214,106
2963,117,155,147
2992,109,152,131
2270,193,163,48
2932,100,248,127
969,131,278,143
2825,164,409,49
2250,189,313,50
2615,185,393,128
2117,113,406,103
1634,164,147,99
1086,106,203,97
923,136,278,117
2839,81,275,90
3036,206,136,87
1451,120,194,109
1014,199,228,145
